م;"أســماء اللجنان النقابية 
 بالشـــــــركات";;;;;
72;اللجنه النقابية بشركة الامير لانتاج الاطقم الصحية;;;;;
73;اللجنه النقابية بشركة الفا جروب ;;;;;
74;اللجنه النقابية بشركة  الفا اتنين;;;;;
75;اللجنة النقابية بشركة لافارج اسمنت مصر;;;;;
76;اللجنة النقابية بشركة سيراميكا كلوباترا العاشر من رمضان ;;;;;
77;اللجنه النقابية بشركة سيراميكا فيردى;;;;;
78;اللجنة النقابية بشركة المصرية تنمية مواد البناء ديكوم;;;;;
79;اللجنة النقابية بشركة نجع حمادى للفيبر بورد ;;;;;
80;اللجنة النقابية بشركة الحجاز استيل للصناعات الخشبية ;;;;;
81;اللجنة النقابية بشركة مصر للتعمير;;;;;
82;اللجنة النقابية بطرق وكبارى سيناء ;;;;;
83;اللجنة النقابية باللجنة الادارية لطرق ونقل الاسكندرية ;;;;;
84;اللجنة النقابية بشركة سيراميكا كلوباترا السويس;;;;;
85;اللجنة النقابية بشركة سيراميك لابوتية;;;;;
86;اللجنة النقابية بشركة النيل للتوريدات المعمارية;;;;;
87;اللجنة النقابية شركة لافارج  __ redy mix;;;;;
88;شركة عصفور للتعدين والحراريات;;;;;
89;شركة السويس للاكياس;;;;;
90;شركة سيراميكا ارت;;;;;
91;سراميكا الامير;;;;;
92;شركة اكريلكون;;;;;
93;شركة موبيكا للصناعات المتكاملة;;;;;
94;الشركة المصرية للمقاولات الكهربائية جينى بروسيس;;;;;
95;الشركة المصرية للطوب الطفلى القومية;;;;;
96;شركة اراسكوم لانشاء الطرق;;;;;
97;شركة كليوباترا لصناعات مواد البناء;;;;;
98;شركة موندى كايرو لمواد التغليف;;;;;
;;;;;;
;;;;;;
م;بــيان اللجان النقابية المهنية;;;;;
1;اللجنة المهنية- شبين الكوم ;;;;;
2;اللجنة المهنية – بالمحلة الكبرى ;;;;;
3;اللجنة المهنية-بدمنهور ;;;;;
4;اللجنة المهنية- بالاسكندرية;;;;;
5;اللجنة المهنية – بنى عبيد / دكرنس ;;;;;
6;اللجنة المهنية – ببلقاس ;;;;;
7;اللجنة المهنية- بميت غمر ;;;;;
8;اللجنة المهنية – بأجا ;;;;;
9;اللجنة المهنية-بدمياط;;;;;
10;اللجنة المهنية- بكفر سعد ;;;;;
11;اللجنة المهنية – بفارسكور;;;;;
12;اللجنة المهنية – ببلبيس       ;;;;;
13;اللجنة المهنية- بالفيوم ;;;;;
14;اللجنة المهنية- جرجا ;;;;;
15;اللجنة المهنية – بالأقصر ;;;;;
16;اللجنة المهنية – بسيدى سالم  ;;;;;
17;اللجنة المهنية- فوة;;;;;
18;اللجنة المهنية- بالزقازيق;;;;;
19;اللجنة المهنية- بسوهاج;;;;;
20;اللجنة المهنية – مينا القمح ;;;;;
21;اللجنة المهنية – بفاقوس ;;;;;
22;اللجنة المهنية – بابو كبير ;;;;;
23;اللجنة المهنية – ببنها ;;;;;
24;اللجنة المهنية- بههيا;;;;;
25;اللجنة المهنية – بالمحمودية ;;;;;
26;اللجنة المهنية - بالقاهرة الكبرى ;;;;;
;;;;;;
;;;;;;
م;بيان مكاتب شئون العضوية ;;;;;
1;مكتب شئون عضوية بالسويس;;;;;
2;مكتب شئون عضوية بالعريش;;;;;
3;مكتب شئون عضوية بأسوان;;;;;
4;مكتب شئون عضوية ببنى سويف;;;;;
5;مكتب شئون عضوية بطنطا;;;;;
6;مكتب شئون عضوية بالمنيا;;;;;
7;مكتب شئون عضوية بأسيوط;;;;;
8;مكتب شئون عضوية بزفتى;;;;;
9;مكتب شئون عضوية بكفر صقر;;;;;
10;مكتب شئون عضوية بمنوف;;;;;
11;مكتب شئون عضوية بأشمون;;;;;
12;مكتب شئون عضوية بكفر الشيخ;;;;;
13;مكتب شئون عضوية بشبرا الخيمة;;;;;
14;مكتب شئون عضوية بفرشوط;;;;;
15;مكتب شئون عضوية بالمنزلة;;;;;
16;مكتب شئون عضوية بقليوب;;;;;
17;مكتب شئون عضوية بالمنصورة;;;;;
18;مكتب شئون عضوية بالمنصورة ( ب );;;;;
19;مكتب شئون عضوية السادس من أكتوبر;;;;;
20;مكتب شئون عضوية العاشر من رمضان;;;;;
21;مكتب شئون عضوية بورسعيد;;;;;
22;مكتب شئون عضوية بشربين;;;;;
23;مكتب شئون عضوية بقوص;;;;;
24;مكتب شئون عضوية السنبلاوين;;;;;
25;مكتب شئون عضوية الجيزة;;;;;
26;مكتب شئون عضوية الإسماعيلية;;;;;
27;مكتب شئون عضوية أبو تشت;;;;;
28;مكتب شئون عضوية دشنا;;;;;
29;مكتب شئون عضوية بحر الأحمر;;;;;
30;مكتب شئون عضوية قنا;;;;;
31;مكتب شئون عضوية - نجع حمادي;;;;;
32;مكتب شئون عضوية - قفط;;;;;
33;مكتب شئون عضوية - دسوق;;;;;
34;مكتب شئون عضوية أسوان;;;;;
35;مكتب شئون عضوية - أرمنت;;;;;
36;مكتب شئون عضوية دار السلام _ سوهاج;;;;;
37;مكتب شئون عضوية القاهرة الكبرى;;;;;
38;مكتب شئون عضوية دقهلة _ دمياط;;;;;
39;مكتب شئون عضوية دمنهور;;;;;
